Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.5604754544798893,0.8175416909055653,0.2649358673270341,0.9152070063694268
2,0.3936035381938879,0.8735456660849331,0.21536095506826025,0.9331210191082803
3,0.35762703508667437,0.8833987783595113,0.1909057123195024,0.9392914012738853
4,0.3332183173336977,0.8927549932131084,0.1927513548997557,0.9355095541401274
5,0.3186303015241379,0.8957909152608104,0.18267618107852662,0.9436703821656051
6,0.3058657520323333,0.9035776614310645,0.16820896982221276,0.9438694267515924
7,0.2908104227182909,0.9064923889858445,0.14944813335255072,0.9538216560509554
8,0.2793483082725167,0.9097707000193911,0.14492521113508447,0.9524283439490446
9,0.2649297531647581,0.9149820632150476,0.15307682473805678,0.9528264331210191
10,0.26638255951413586,0.9156971107232887,0.15852272635396975,0.947452229299363
11,0.25643011432091223,0.91695753344968,0.1331669862328726,0.9572054140127388
12,0.25710778399638795,0.9166424277680821,0.1336264187784474,0.955812101910828
13,0.23930879871980215,0.9230172580957922,0.13207854850775308,0.9585987261146497
14,0.24943348797338344,0.9198480221058755,0.13643527097383124,0.9532245222929936
15,0.23383725054590265,0.9260168217956176,0.12446021040082927,0.959593949044586
16,0.22653365561520813,0.9276105293775451,0.13618947897450465,0.9562101910828026
17,0.22914197757854243,0.9267197498545666,0.1312999684766979,0.9572054140127388
18,0.2213478440114358,0.9278589780880356,0.12302656452005409,0.9609872611464968
19,0.2190622841203049,0.9294163273220866,0.14248707906230335,0.9574044585987261
20,0.21875153598470432,0.9286891603645531,0.12484914990168682,0.9601910828025477
21,0.21908729271952404,0.9281559045956952,0.1445734147308691,0.9548168789808917
